CVE_NAME,Severity,hasExploit,hasNuclei,Added
CVE-2025-23598,HIGH,False,false,2025-02-14T18:03:28.000
CVE-2025-23646,HIGH,False,false,2025-02-14T18:03:33.000
CVE-2025-23647,HIGH,False,false,2025-02-14T18:03:39.000
CVE-2025-23648,HIGH,False,false,2025-02-14T18:03:44.000
CVE-2025-23650,HIGH,False,false,2025-02-14T18:03:50.000
CVE-2025-23651,HIGH,False,false,2025-02-14T18:03:55.000
CVE-2025-23652,HIGH,False,false,2025-02-14T18:04:01.000
CVE-2025-23653,HIGH,False,false,2025-02-14T18:04:06.000
CVE-2025-23655,HIGH,False,false,2025-02-14T18:04:12.000
CVE-2025-23657,HIGH,False,false,2025-02-14T18:04:17.000
CVE-2025-23658,HIGH,False,false,2025-02-14T18:04:23.000
CVE-2025-23742,HIGH,False,false,2025-02-14T18:04:28.000
CVE-2025-23748,HIGH,False,false,2025-02-14T18:04:34.000
CVE-2025-23750,HIGH,False,false,2025-02-14T18:04:40.000
CVE-2025-23751,HIGH,False,false,2025-02-14T18:04:45.000
CVE-2025-23786,HIGH,False,false,2025-02-14T18:04:51.000
CVE-2025-23787,HIGH,False,false,2025-02-14T18:04:56.000
CVE-2025-23788,HIGH,False,false,2025-02-14T18:05:02.000
CVE-2025-23789,HIGH,False,false,2025-02-14T18:05:07.000
CVE-2025-23790,HIGH,False,false,2025-02-14T18:05:13.000
CVE-2025-23851,HIGH,False,false,2025-02-14T18:05:18.000
CVE-2025-23853,HIGH,False,false,2025-02-14T18:05:24.000
CVE-2025-23857,HIGH,False,false,2025-02-14T18:05:29.000
CVE-2025-23905,HIGH,False,false,2025-02-14T18:05:35.000
CVE-2025-24554,HIGH,False,false,2025-02-14T18:05:41.000
CVE-2025-24558,HIGH,False,false,2025-02-14T18:05:46.000
CVE-2025-24564,HIGH,False,false,2025-02-14T18:05:52.000
CVE-2025-24565,HIGH,False,false,2025-02-14T18:05:57.000
CVE-2025-24566,HIGH,False,false,2025-02-14T18:06:03.000
CVE-2025-24592,HIGH,False,false,2025-02-14T18:06:08.000
CVE-2025-24614,HIGH,False,false,2025-02-14T18:06:14.000
CVE-2025-24615,HIGH,False,false,2025-02-14T18:06:20.000
CVE-2025-24616,HIGH,False,false,2025-02-14T18:06:25.000
CVE-2025-24617,HIGH,False,false,2025-02-14T18:06:31.000
CVE-2025-24641,HIGH,False,false,2025-02-14T18:06:36.000
CVE-2025-24688,HIGH,False,false,2025-02-14T18:06:42.000
CVE-2025-24692,HIGH,False,false,2025-02-14T18:06:47.000
CVE-2025-24700,HIGH,False,false,2025-02-14T18:06:53.000
CVE-2025-25206,HIGH,False,false,2025-02-14T18:06:59.000
CVE-2025-25295,HIGH,False,false,2025-02-14T18:07:04.000
CVE-2025-25997,HIGH,False,false,2025-02-15T00:06:57.000
CVE-2025-26156,HIGH,False,false,2025-02-15T00:07:02.000
CVE-2025-25297,HIGH,False,false,2025-02-15T00:07:08.000
CVE-2025-0593,HIGH,False,false,2025-02-15T00:07:13.000
CVE-2024-5461,HIGH,False,false,2025-02-15T06:02:19.000
CVE-2025-1302,HIGH,False,false,2025-02-15T06:02:25.000
